DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,DESIGNATION,CALC_METHOD,SCOPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,IUCN_CODE,DECIMALS
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),PCN,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2018,99.4088569729738,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),PCN,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2019,99.4088569729738,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),PCN,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2020,99.4088569729738,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),PCN,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2021,99.4088569729738,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),PCN,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2022,99.4088569729738,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),MMR,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2018,6.27748391235918,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),MMR,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2019,6.30884280688612,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),MMR,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2020,6.53510412910904,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),MMR,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2021,6.53510412910904,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),MMR,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2022,6.53510412910904,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),AIA,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2018,13.277447174767,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),AIA,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2019,13.277447174767,A,0,ALL_INC_P,2
OECD.ENV.EPI:DSD_PA@DF_PROT_AREA(1.0),AIA,A,TERRESTRIAL,PT_LAR,ALL_INC_P,TCEOA,CNTRY,2020,13.277447174767,A,0,ALL_INC_P,2
